Wall time,Step,Value
1717263517.8425865,2919,-785.2942504882812
1717263543.2587428,2929,-801.1813354492188
1717263669.1039617,2979,-655.747802734375
1717263693.947132,2989,-782.57568359375
1717263770.0262592,3019,-767.7158813476562
1717263795.53235,3029,-727.2907104492188
1717263821.2413383,3039,-804.4177856445312
1717263921.8278685,3079,-952.117919921875
1717263946.691875,3089,-878.416015625
1717263996.8955152,3109,-802.7489624023438
1717264072.782913,3139,-1101.10400390625
1717264172.9080956,3179,-1217.73291015625
1717264198.1030922,3189,-1136.4613037109375
1717264223.079062,3199,-970.4351196289062
1717264247.82761,3209,-1061.9515380859375
1717264297.7913208,3229,-1133.83203125
1717264373.4733315,3259,-1332.825927734375
1717264398.3996332,3269,-1250.025146484375
1717264423.8713512,3279,-1260.08544921875
1717264499.9272804,3309,-1289.13623046875
1717264576.1972678,3339,-1497.0616455078125
1717264728.0313663,3399,-1433.85888671875
1717264778.7809691,3419,-1553.6832275390625
1717264854.6837418,3449,-1553.680908203125
1717264880.0053883,3459,-1224.9837646484375
1717264931.6874545,3479,-1643.376708984375
1717264957.138663,3489,-1666.75439453125
1717265084.5961428,3539,-1802.5184326171875
1717265109.7614024,3549,-1613.7197265625
1717265210.9939477,3589,-1593.1904296875
1717265261.949231,3609,-1423.36474609375
1717265337.8008142,3639,-1496.80712890625
1717265438.6124089,3679,-1739.8466796875
1717265539.3559778,3719,-1926.1861572265625
1717265590.1337044,3739,-1691.5362548828125
1717265690.3909757,3779,-1535.078857421875
1717265715.8661196,3789,-1684.7322998046875
1717265741.360522,3799,-1627.664794921875
1717265791.292055,3819,-1628.2344970703125
1717265816.2915177,3829,-1909.3990478515625
1717265918.3247035,3869,-1637.7587890625
1717265999.2770238,3879,-1627.2984619140625
1717266098.3598835,3919,-1715.9283447265625
1717266123.8848732,3929,-1927.335693359375
1717266148.7296917,3939,-1542.552490234375
1717266400.022359,4039,-1608.5975341796875
1717266524.9315386,4089,-1665.600341796875
1717266701.7278304,4159,-1704.0748291015625
1717266727.7961426,4169,-1550.348388671875
1717266853.7664495,4219,-2154.6943359375
1717266878.89947,4229,-1742.828369140625
1717266930.627672,4249,-1913.5301513671875
1717266980.7329435,4269,-2019.2528076171875
1717267081.2602088,4309,-1495.0208740234375
1717267308.3490949,4399,-2002.904541015625
1717267360.538638,4419,-1538.517578125
1717267386.1389759,4429,-1961.738037109375
1717267462.5215309,4459,-1909.668212890625
1717267615.4298375,4519,-2379.97900390625
1717267796.688844,4589,-1904.674072265625
1717267822.126045,4599,-1889.9459228515625
1717267848.2242255,4609,-2096.71630859375
1717267874.1522536,4619,-1823.46728515625
1717267926.0273538,4639,-2110.9169921875
1717267950.6554966,4649,-1984.3638916015625
1717268025.8665736,4679,-1668.7059326171875
1717268051.1508496,4689,-1723.7806396484375
1717268176.620902,4739,-1827.001708984375
1717268201.636295,4749,-1799.4114990234375
1717268537.755505,4859,-1976.4661865234375
1717268612.8945491,4889,-2405.366943359375
1717268637.7735813,4899,-1957.66748046875
1717268688.6207452,4919,-2021.0072021484375
1717268741.0777013,4939,-2129.5869140625
1717268816.683376,4969,-2163.426025390625
1717269094.8169332,5079,-2098.77587890625
1717269194.4841552,5119,-2453.136962890625
1717269219.9443798,5129,-2343.90185546875
1717269270.9747233,5149,-2031.9556884765625
1717269321.10681,5169,-2188.259521484375
1717269346.1151378,5179,-2304.7294921875
1717269396.2617407,5199,-2175.7744140625
1717269522.573423,5249,-2144.19482421875
1717269548.56784,5259,-2429.864990234375
1717269701.039303,5319,-2261.904296875
1717269751.2983146,5339,-1956.867431640625
1717269776.836273,5349,-2072.75830078125
1717269802.6888554,5359,-1833.988525390625
1717269828.389553,5369,-2195.4375
1717269853.642165,5379,-2008.5496826171875
1717269879.1800098,5389,-2105.9365234375
1717269928.6545587,5409,-2185.38330078125
1717269953.1822789,5419,-2209.322509765625
1717269978.0248988,5429,-2207.635498046875
1717270106.626809,5479,-1983.91943359375
1717270131.8344002,5489,-2395.7314453125
1717270157.3945382,5499,-2380.092529296875
1717270208.2227316,5519,-2297.0234375
1717270308.7999427,5559,-2687.5888671875
1717270359.2957597,5579,-2084.899658203125
1717270409.7135162,5599,-2339.7724609375
1717270509.9559379,5639,-2177.152587890625
1717270535.2097611,5649,-2169.42431640625
1717270560.3713684,5659,-2599.6005859375
1717270662.393484,5699,-2548.763671875
1717270762.951109,5739,-1783.13623046875
1717270788.4916344,5749,-2043.59130859375
1717270863.891044,5779,-2147.6552734375
1717270913.589807,5799,-2133.2919921875
1717270992.8045635,5809,-2046.5767822265625
1717271017.5857277,5819,-2207.723388671875
1717271043.3806517,5829,-2411.2255859375
1717271068.258739,5839,-2466.652099609375
1717271093.2754574,5849,-2349.0302734375
1717271144.5022967,5869,-2208.296875
1717271169.214107,5879,-2128.294921875
1717271294.493131,5929,-2258.636962890625
1717271319.30545,5939,-2482.8759765625
1717271395.0883238,5969,-2137.6025390625
1717271420.3657684,5979,-2130.136474609375
1717271497.9212654,6009,-2444.306640625
1717271548.1049879,6029,-2125.334716796875
1717271648.0368724,6069,-2941.300537109375
1717271698.0341055,6089,-2527.13037109375
1717271747.7617517,6109,-2528.643798828125
1717271797.437896,6129,-2369.28662109375
1717271872.5553052,6159,-2031.2098388671875
1717271974.1801014,6199,-2043.1470947265625
1717271999.038673,6209,-2208.95166015625
